FID_CLIENTE,BAIRRO
455,CHARITAS
456,PIEDADE
457,GRAJAU
458,COLUBANDE
459,TRINDADE
461,GUADALUPE
462,OSWALDO CRUZ
464,MADUREIRA
466,PAVUNA
467,PAVUNA
469,HONORIO GURGEL
471,MARECHAL HERMES
472,GUADALUPE
474,GUADALUPE
477,HUMAITA
478,BOTAFOGO
479,CENTRO
481,CENTRO
483,BOTAFOGO
484,COPACABANA
486,BUTANTA
266,DR LAUREANO
267,TIJUCA
272,VIGARIO GERAL
273,BRAZ DE PINA
274,TIJUCA
276,REALENGO
279,CHACARAS RIO PETROPO
281,JUSCELINO
282,TAUA
283,PORTO VELHO
285,BENFICA
286,BONSUCESSO
287,OLARIA
289,JACARE
292,MANGUINHOS
294,PENHA
298,INHAUMA
4280,ITAUNA
4281,COELHO
4282,COLUBANDE 
4285,SENADOR CAMARA 
490,TAQUARA
492,TAQUARA
493,CURICICA
496,JACAREPAGUA
497,JD PRIMAVERA
499,BAR DOS CAVALEIROS
500,ITAUNA
503,JARDIM GRAMACHO 
1,TIJUCA
2,INHAUMA
3,BOTAFOGO
4,CENTRO
5,XAVANTE
6,PARQUE TIETE
7,VILA PAULINE
8,DEL CASTILHO
9,MUTUAPIRA
13,NOVA CIDADE
16,METROPOLE
17,VILA OPERARIA
19,VALE DAS MANGUEIRAS
24,MADUREIRA
25,BOACU
27,GAVEA/ROCINHA
28,GRAMA/MG.COUTO
31,POSSE
34,PENHA CIRCULAR
36,ADRIANOPOLIS
37,CENTRO
40,BENTO RIBEIRO
41,COMENDADOR SOARES
42,GRAMACHO
43,RECREIO DOS BANDEIRA
44,SENADOR CAMARA
45,VILA ISABEL
46,REALENGO
47,JARDIM GRAMACHO
48,VILA VALQUEIRE
50,VILA SAO LUIZ
51,MUTONDO
52,PARQUE SAO VICENTE
55,MADUREIRA
56,OLARIA
58,TIJUCA
61,PQ NOVA ESPERANCA
64,ANCHIETA
66,OLARIA
67,25 DE AGOSTO
70,VILA CAMARIM
74,PARQUE FLORA 
76,TAUA
77,BENFICA
79,RAMOS
80,AGUA SANTA
81,CACHAMBI
82,BANGU
83,CENTRO 
85,PARAISO 
86,PAVUNA
87,CENTRO
88,PORTO DA PEDRA
90,PENHA CIRCULAR
54,STA TEREZINHA
93,TIJUCA
95,PILARES
97,VENDA DAS PEDRAS
99,DEL CASTILHO
100,MANILHA
102,VILA ISABEL
103,SANTO ALEIXO
106,ALTO DA BOA VISTA
108,CENTRO
110,CENTRO 
111,MARE
112,CENTRO 
113,SALGUEIRO
114,ALCANTARA
116,CENTRO
118,TANQUE
120,TIJUCA
121,VILA ISABEL
122,RAMOS
124,ANDRADE ARAUJO
125,VILA ISABEL
126,COELHO DA ROCHA
129,ALTO DA BOA VISTA
132,COELHO
133,JARDIM CATARINA
134,OUTEIRO DAS PEDRAS
136,VILA DE CAVA
137,CABUCU
139,PIABETA-CENTRO
140,SARCURUNA
141,CENTRO 
144,VAZ MARTINS
145,PORTO DE MADAMA
147,BOASSU
149,IPANEMA
150,ROSA DOS VENTOS
153,IRAJA
155,MIGUEL COUTO
156,ANTONINA
160,VILA CAMARIM
161,CAMARIM
89,ROCHA 
162,COMENDADOR SOARES
163,MANGUEIRA
164,ROSA DOS VENTOS
165,MORRO AGUDO
167,BRAZ DE PINA
168,CENTRO
171,JACAREPAGUA
172,CARMARI
176,CACHAMBI
177,ANDORINHAS
179,MUTONDO
183,VILA DA PENHA
186,CACHAMBI
188,CENTRO
191,GRAMACHO
193,VILA VALQUEIRE
194,SARAPUY
195,CACUIA
4894,LINS DE VASCONCELOS
4895,CURICICA
488,GARDENIA AZUL
198,AMENDOEIRA
199,BRASILANDIA
202,BRASILANDIA
203,GALEAO
204,VISTA ALEGRE
205,PQ SAO JOSE
4268,
4269,ICARAI
211,COPACABANA
212,ITATIAIA
213,QUEIMADOS
214,JARDIM LEAL
216,COPACABANA
217,ALCANTARA
219,LAGOINHA
222,ILHA DO GOVERNADOR
226,JD PRIMAVERA
229,VILA SANTA ALICE
230,PORTO DA PEDRA
4271,ENGENHO DE DENTRO
4272,VILA DO TINGUA
4276,ITAUNA
232,ZUMBI/ILHA GOV
233,COPACABANA
234,VILA SAO LUIZ
235,PAULICEIA
236,COPACABANA
237,COPACABANA
238,SHANGRILAR/MG COUTO
239,MANTIQUEIRA/XEREM
241,HELIOPOLIS
243,RIBEIRA / ILHA
244,JARDIM CATARINA
246,CENTRO
247,LAGOINHA
248,PQ BEIRA MAR
254,CACUIA/ILHA
255,DA PRATA
256,PILAR
258,VILA IRACEMA
265,BARRA DA TIJUCA
20,PORTO NOVO
123,CABUCU
346,CACHAMBI
347,MEIER
348,MEIER
349,MEIER
350,BRAZ DE PINA
351,TODOS OS SANTOS
352,PENHA
353,PENHA
355,BONSUCESSO
356,RAMOS
358,DEL CASTILHO
359,MANGUINHOS
361,HUMAITA
364,OLARIA
367,BENFICA
371,JURUJUBA
373,ENGENHOCA
374,RIO COMPRIDO
375,ENGENHO PEQUENO
376,MARE
151,CENTRO
379,VILA IZABEL
380,TIJUCA
383,LARANJAL
384,SANTA CATARINA
385,CENTRO
386,CENTRO
388,COPACABANA
389,COPACABANA
391,VILA LAJE
392,PORTO DA PEDRA
394,COELHO
395,ANTONINA
396,FONSECA
399,SAO FRANCISCO
401,ITAIPU
403,ICARAI
405,PONTA DA AREIA
407,SAO FRANCISCO
409,SANTA ROSA
414,BOA VISTA
84,CACHAMBI
417,TRINDADE
418,FONSECA
419,BARRETO
420,GALO BRANCO
422,ICARAI
426,CAVALCANTE
427,MANGUINHOS
428,MARIA DA GRACA
429,BONSUCESSO
432,ENGENHOCA
433,JARDIM BOTANICO
435,TIJUCA
438,POSSE
442,MARE
443,PAVUNA
444,VILA DA PENHA
445,CENTRO
448,LOTE XV
449,GRACAS
451,MARE
452,SAO CRISTOVAO
914,ROCHA MIRANDA
916,BENTO RIBEIRO
917,MARECHAL HERMES
919,BARROS FILHO
920,AREIA BRANCA
504,HELIOPOLIS
505,A DE ARAUJO
4331,LAGOINHA 
507,JARDIM PRIMAVERA
509,BEIRA MAR
512,PERIQUITOS
516,JARDIM PRIMAVERA 
517,SARACURUNA
518,SARACURUNA
520,CENTENARIO
522,PILAR
523,HELIOPOLIS
525,TRINDADE
526,MUTUA 
527,BARRO VERMELHO
4334,SENADOR CAMARA 
4336,REALENGO 
534,JACAREPAGUA 
537,JARDIM GRAMACHO
538,TAQUARA
540,ANIL
541,ANIL
543,JACAREPAGUA
545,PECHINCHA
546,FREGUESIA 
547,FREGUESIA
548,PECHINCHA
549,FREGUESIA
550,FREGUESIA
553,JACAREPAGUA
554,CURICICA
557,JACAREPAGUA
560,COPACABANA
562,CENTENARIO
563,CENTRO
567,PARADA ANGELICA
568,JD MERITI
4905,SANTA CRUZ
570,JD MERITI
571,EDEN
573,SANTA AMELIA
574,PQ SAO VICENTE
575,EDEN
578,BOM PASTOR
579,NOVA ESPERANCA
581,AGOSTINHO PORTO
584,CENTRO
585,MAGALHAES BASTOS
587,DEODORO
588,COLEGIO
589,PARADA DE LUCAS
590,REALENGO
592,TAQUARA
596, GRAMACHO
598,SARACURUNA
4378,CABUCU
4380,FAZENDA DOS MINEIROS
4381,CENTRO
601,PARQUE URUGUAIANA
602,JARDIM PRIMAVERA
4382,LUZ
605,MANTIQUEIRA
607,PARADA ANGELICA
608,CENTRO
610,FLAMENGO
614,COPACABANA
615,COPACABANA
619,PARADA DE LUCAS
620,COPACABANA
623,LARANJEIRAS
624,CENTRO
625,CENTRO
626,CENTRO
627,CENTRO
629,LARANJEIRAS
631,CENTRO
635,CAMPOS ELYSEOS
4385,COLUBANDE
4387,BANGU
299,VILA IZABEL
301,JACARE
302,ABOLICAO
303,JACARE
305,COLEGIO
306,BONSUCESSO
307,VISTA ALEGRE
310,BARRA DA TIJUCA
311,PENHA
312,VILA ISABEL
313,OLARIA
314,CAVALVANTE
315,INHAUMA
317,MANGUINHOS
318,JACAREZINHO
319,MARE
321,BONSUCESSO
326,BARRO VERMELHO
328,PILARES
330,MARE
331,MARE
333,OLARIA
335,INHAUMA
336,HIGIENOPOLIS
338,CACHAMBI
339,VISTA ALEGRE
341,QUINTINO BACAIUVA
342,OLARIA
344,HIGIENOPOLIS
736,BENFICA
738,FREGUESIA
739,FREGUESIA
740,PQ JOAO PESSOA
741,VILA SAO LUIS
742,FRAGOSO
743,ITATIAIA
744,MIRIAMBI
747,NOVA CAMPINA
750,HIGIENOPOLIS
753,VILA ROSARIO
755,PILAR
757,MEIER
758,CACHAMBI
759,TRES RIOS
762,PARQUE LAFAIETE
766,RAMOS
767,TODOS OS SANTOS
769,PIABETA
770,HIGIENOPOLIS
772,OLARIA
775,VILA SAO LUIZ
777,CABUCU
778,PACHECO
779,VISTA ALEGRE
781,CHACARA RIO CAPIVARI
4338,BANGU 
4339,BANGU 
786,CENTENARIO
787,SAO BENTO
4341,GAVEA 
4344,PONTO CHIC
4345,BAIA BRANCA
754,PARQUE VITORIA
790,BARAO DE ANGRA
791,VISTA ALEGRE
792,CAPIVARI
4346,GRADIM 
4347,PADRE MIGUEL 
798,JARDIM PRIMAVERA
800,RECREIO DOS BANDEIRA
802,BARRA DA TIJUCA
805,BARRA DA TIJUCA
807,BARRA DA TIJUCA
808,VISTA ALEGRE
924,LOTE XV
925,OLINDA
926,CENTRO
927,CENTRO
929,CENTRO
930,CENTRO
932,CENTRO
4348,ITAIPU 
4352,Parque dos Califas
934,PAVUNA
935,PARQUE COLUMBIA
937,PARQUE COLUMBIA
939,PAVUNA
941,SAO BENTO
942,VILAR SAO LUIZ
944,SARACURUNA
945,PARQUE SANTA LUCIA
946,ANCHIETA
951,ANCHIETA
954,MARECHAL HERMES
956,GUADALUPE
957,COPACABANA
958,COPACABANA
959,MARECHAL HERMES
961,CATETE
963,BOTAFOGO
964,BOTAFOGO
967,JARDIM GUANABARA
783,CHAC. RIO PETROPOLIS
968,JACAREPAGUA
973,PECHINCHA
975,CENTRO
976,CATETE
977,TAQUARA
980,PIABETA
983,PIABETA
4354,Brasilandia
988,PARADA ANGELICA
989,PIABETA
990,PIABETA
992,ICARAI
994,BAIRRO DOS CAVALEIRO
997,ICARAI
999,ICARAI
1000,VILA ISABEL
1002,PARQUE PAULISTA
1003,PIABETA
4357,VILA DE CAVA
4358,VILA DO JOAO
4359,PRAIA DO SACO 
595,FREGUESIA
1004,25 DE AGOSTO
1007,TURIACU
1008,PIRATININGA
1010,JARDIM GRAMACHO
1012,JARDIM AMERICA
1013,RAMOS
1015,BRAZ DE PINA
1020,PARQUE UNIAO
1021,CAMPO GRANDE
1022,CORDOVIL
1025,BRAZ DE PINA
1026,SAO GONCALO
1032,JARDIM AMERICA
1034,MARE 
1036,CAJU 
1037,PENHA CIRCULAR 
1039,VENDA DAS PEDRAS
1040,JD 25 DE AGOSTO
1041,GRAMACHO C MENINOS
4908,SANTA ROSA
322,VILA ISABEL
1044,PQ FLUMINENSE
4361,CAMPO GRANDE 
1047,FIGUEIRA
1048,PQ INDEPENDENCIA
1049,BOTAFOGO
1053,PACIENCIA
1054,PENHA
1055,CAMPO GRANDE
1056,CAMPO GRANDE 
4362,BANGU 
1059,CHACARAS ARCAMPO
1062,GUARATIBA
1063,OLARIA
1065,CAMPO GRANDE
4364,VAZ LOBO 
1069,CHACARAS ARCAMPO
1071,REALENGO
1072,GALO BRANCO
810,PITA
4366,CENTRO 
4367,JARDIM BOTANICO
4368,CAMPO GRANDE 
812,PARAISO
813,BARRA DA TIJUCA
814,BARRA DA TIJUCA
815,BARRA DA TIJUCA
816,TIJUCA
818,ANDARAI
819,MARECHAL HERMES
822,VILA VALQUEIRE
823,SAO BENTO
826,BARRA DA TIJUCA
827,BARRA DA TIJUCA
831,SAO CRISTOVAO
832,TIJUCA
833,GRAJAU
835,MEIER
837,CENTRO
839,JACARE
840,VIGARIO GERAL
842,VILA NORMA
960,CENTRO
846,BARRA DA TIJUCA
847,SANTA ROSA
848,GRADIM
849,VILA NASCIMENTO
851,VITAL BRASIL
852,LARGO DA IDEIA
853,COVANCA
854,SANTA LUZIA
855,VILA LEOPOLDINA
856,PARAISO
859,JARDIM 25 DE AGOSTO
860,COPACABANA
861,VILAR SAO JOAO
864,ROCHA 
865,BARRA DA TIJUCA
869,CENTRO 
871,VILA STO ANTONIO
872,BARRETO
875,VILAR DOS TELES
530,VILA SARAPUI GRAMACH
879,ANDRADE DE ARAUJO
4375,Imbarie
883,CAJU
884,CENTRO
886,VILA VALQUEIRE
888,PENHA CIRCULAR
892,TIJUCA
893,CENTRO
894,VENDA DAS PEDRAS
895,SANTA ROSA
897,JOSE PINHEIRO
899,SANTA LUZIA
903,BOA VISTA
905,BARRA DA TIJUCA
907,CENTRO
911,SAO BERNARDO
913,ROCHA MIRANDA
4371,PARQUE MODERNO 
4373,PARAISO
4374,JARDIM ANHANGA
776,EDEN
1459,LINDO PARQUE 
1462,CAMBOINHAS 
1465,SARACURUNA
1468,TURIACU
1469,CENTRO
1471,INHAUMA
1473,SANTA CATARINA
1474,JARDIM AMERICA
1476,SAO CRISTOVAO
1477,PIABETA
1478,PARADA ANGELICA
1480,VAZ LOBO
1483,JARDIM AMERICA
1484,PIABETA
1485,MARIA PAULA
1486,ITAIPU
1488,ENGENHOCA
1491,REALENGO
1492,C GRANDE
1493,ACARI
1494,JARDIM AMERICA
