USER,ITEM,QTD
493,149,10
493,150,5
493,160,5
493,168,100
493,169,50
493,217,100
493,244,25
493,246,80
493,221,18
493,268,60
493,271,5
493,236,500
493,238,600
493,256,60
493,269,200
493,286,27500
493,228,30
493,297,10
493,13257,1
493,13256,1
493,35060,113
493,55897,2
493,55898,2
494,21,2
494,24,2
494,48,70
494,51,160
494,60,1
494,101,8
494,102,150
494,104,100
494,107,40
494,115,60
494,116,400
494,139,20
494,140,100
494,141,100
494,142,100
494,143,40
494,148,37
494,149,10
494,150,5
494,160,5
494,168,100
494,169,50
494,217,100
494,244,25
494,246,80
494,221,18
494,268,60
494,271,5
494,236,500
494,238,600
494,256,60
494,269,200
494,286,27500
494,228,30
494,297,10
494,13257,1
494,13256,1
494,35060,113
494,55897,2
494,55898,2
538,116,1
539,140,1
540,21,2
540,24,2
540,48,70
540,51,160
540,60,1
540,101,8
540,102,150
540,104,100
540,107,40
540,115,60
540,116,400
540,139,20
540,140,100
540,141,100
540,142,100
540,143,40
540,148,37
540,149,10
540,150,5
540,160,5
540,168,100
540,169,50
540,217,100
540,244,25
540,246,80
540,221,18
540,268,60
540,271,5
540,236,500
540,238,600
540,256,60
540,269,200
540,286,27500
540,228,30
540,297,10
540,13257,1
540,13256,1
540,35060,113
540,55897,2
540,55898,2
543,51,6
543,116,10
543,149,2
548,21,2
548,24,2
548,48,70
548,51,160
548,60,1
548,101,8
548,102,150
548,104,100
548,107,40
548,115,60
548,116,400
548,139,20
548,140,100
548,141,100
548,142,100
548,143,40
548,148,37
548,149,10
548,150,5
548,160,5
548,168,100
548,169,50
548,217,100
548,244,25
548,246,80
548,221,18
548,268,60
548,271,12
548,236,500
548,238,600
548,256,60
548,269,200
548,286,27500
548,228,30
548,297,10
548,13257,1
548,13256,1
548,35060,113
548,55897,2
548,55898,2
550,217,20
551,51,1
552,107,60
552,116,1
552,140,30
552,238,1
555,21,2
555,24,2
555,48,70
555,51,160
555,60,1
555,101,8
555,102,150
555,104,100
555,107,40
555,115,60
555,116,400
555,139,20
555,140,100
555,141,100
555,142,100
555,143,40
555,148,37
555,149,10
555,150,5
555,160,5
555,168,100
555,169,50
555,217,100
555,244,25
555,246,80
555,221,18
555,268,60
555,271,5
555,236,500
555,238,600
555,256,60
555,269,200
555,286,27500
555,228,30
555,297,10
555,13257,1
555,13256,1
555,35060,113
555,55897,2
555,55898,2
558,51,4
560,116,15
562,21,2
562,24,2
562,48,70
562,51,160
562,60,1
562,101,8
562,102,150
562,104,100
562,107,40
562,115,60
562,116,400
562,139,20
562,140,100
562,141,100
562,142,100
562,143,40
562,148,37
562,149,10
562,150,5
562,160,5
562,168,100
562,169,50
562,217,100
562,244,25
562,246,80
562,221,18
562,268,60
562,271,5
562,236,500
562,238,600
562,256,60
562,269,200
562,286,27500
562,228,30
562,297,10
562,13257,1
562,13256,1
562,35060,113
562,55897,2
562,55898,2
564,116,1
564,149,2
564,268,6
564,297,2
581,104,10
585,21,2
585,24,2
585,48,70
585,51,160
585,60,1
585,101,8
585,102,150
585,104,100
585,107,40
585,115,60
585,116,400
585,139,20
585,140,100
585,141,100
585,142,100
585,143,40
585,148,37
585,149,10
585,150,5
585,160,5
585,168,100
585,169,50
585,217,100
585,244,25
585,246,80
585,221,18
585,268,60
585,271,5
585,236,500
585,238,600
585,256,60
1580,24,2
1580,48,70
1580,51,160
1580,60,1
1580,101,8
1580,102,150
1580,104,100
1580,107,40
1580,115,60
1580,116,400
1580,139,20
1580,140,100
1580,141,100
1580,142,100
1580,143,40
1580,148,37
1580,149,10
1580,150,5
1580,160,5
1580,168,100
1580,169,50
1580,217,100
1580,244,25
1580,246,80
1580,221,18
1580,268,60
1580,271,5
1580,236,500
1580,238,600
1580,256,60
1580,269,200
1580,286,27500
1580,228,30
1580,297,10
1580,13257,1
1580,13256,1
1580,35060,113
1580,55897,2
1580,55898,2
1581,104,40
1581,150,2
1581,168,2
1581,246,20
1581,228,6
1011,104,7
1011,139,1
1011,142,1
1011,217,6
1011,228,1
1015,139,10
1017,149,2
1017,297,3
1021,51,1
1021,139,5
1021,142,10
1021,271,40
1027,142,50
1027,217,50
1027,238,25
1034,104,2
1034,149,2
1037,269,1
1040,142,10
1040,149,3
1040,168,15
1040,169,15
1040,236,1
1040,228,6
1041,21,2
1041,24,2
1041,48,70
1041,51,160
1041,60,1
1041,101,8
1041,102,150
1041,104,100
1041,107,40
1041,115,60
1041,116,400
1041,139,20
1041,140,100
1041,141,100
1041,142,100
1041,143,40
1041,148,37
1041,149,10
1041,150,5
1041,160,5
1041,168,100
1041,169,50
1041,217,100
1041,244,25
1041,246,80
1041,221,18
1041,268,60
1041,271,5
1041,236,500
1041,238,600
1041,256,60
1041,269,200
1041,286,27500
1041,228,30
1041,297,10
1041,13257,1
1041,13256,1
1041,35060,113
1041,55897,2
1041,55898,2
1082,116,10
1082,236,10
1090,102,10
1090,149,2
1090,268,3
1090,236,10
1090,238,20
1090,228,3
1099,104,20
1099,139,1
1102,102,50
1117,21,2
1117,24,2
1117,48,70
1117,51,160
1117,60,1
1117,101,8
1117,102,150
1117,104,100
1117,107,40
1117,115,60
1117,116,400
1117,139,20
1117,140,100
1117,141,100
1117,142,100
1117,143,40
1117,148,37
1117,149,10
1117,150,5
1117,160,5
1117,168,100
1117,169,50
1117,217,100
1117,244,25
1117,246,80
1117,221,18
1117,268,60
1117,271,5
1117,236,500
1117,238,600
1117,256,60
1117,269,200
1117,286,27500
1117,228,30
1117,297,10
1117,13257,1
1117,13256,1
1117,35060,113
1117,55897,2
1117,55898,2
1119,21,2
1119,24,2
1119,48,70
1119,51,160
1119,60,1
1119,101,8
1119,102,150
1119,104,100
1119,107,40
1119,115,60
1119,116,400
1119,139,20
1119,140,100
1119,141,100
1119,142,100
1119,143,40
1119,148,37
1119,149,10
1119,150,5
1119,160,5
1119,168,100
1119,169,50
1119,217,100
1119,244,25
1119,246,80
1119,221,18
1119,268,60
1119,271,5
1119,236,500
1119,238,600
1119,256,60
1119,269,200
1119,286,27500
1119,228,30
1119,297,10
1119,13257,1
1119,13256,1
1119,35060,113
1119,55897,2
1119,55898,2
1121,116,30
1125,21,2
1125,24,2
1125,48,70
1125,51,160
1125,60,1
1125,101,8
1125,102,150
1125,104,100
1125,107,40
1125,115,60
1125,116,400
1125,139,20
1125,140,100
1125,141,100
1125,142,100
1125,143,40
1125,148,37
1125,149,10
1125,150,5
1125,160,5
1125,168,100
1125,169,50
1125,217,100
1125,244,25
1125,246,80
1125,221,18
1125,268,60
1125,271,15
1125,236,500
1125,238,600
1125,256,60
1125,269,200
1125,286,27500
1125,228,30
1125,297,10
1125,13257,1
1125,13256,1
1125,35060,113
1125,55897,2
1125,55898,2
1139,21,2
1139,24,2
1139,48,70
1139,51,160
1139,60,1
1139,101,8
1139,102,150
1139,104,100
1139,107,40
1139,115,60
1139,116,400
1139,139,20
1139,140,100
1139,141,100
1139,142,100
1139,143,40
1139,148,37
1139,149,10
1139,150,5
1139,160,20
1139,168,100
1139,169,50
1139,217,100
1139,244,25
1139,246,80
1139,221,18
1139,268,60
1139,271,5
1139,236,500
1139,238,600
1139,256,60
1139,269,200
1139,286,27500
1139,228,30
1139,297,10
1139,13257,1
1139,13256,1
1139,35060,113
1139,55897,2
1139,55898,2
1144,21,2
1144,24,2
1144,48,70
1144,51,160
1144,60,1
1144,101,8
1144,102,150
1144,104,100
1144,107,40
1144,115,60
1144,116,400
1144,139,20
1144,140,100
1144,141,100
1144,142,100
1144,143,40
1144,148,37
1144,149,10
1144,150,5
1144,160,5
1144,168,100
1144,169,50
1144,217,100
1144,244,25
1144,246,80
1144,221,18
1144,268,60
1144,271,5
1144,236,500
1144,238,600
1144,256,60
1144,269,200
1144,286,27500
1144,228,30
1144,297,10
1144,13257,1
1144,13256,1
1144,35060,113
1144,55897,2
1144,55898,2
1149,21,2
1149,24,2
1149,48,70
1149,51,160
1149,60,1
1149,101,8
1149,102,150
1149,104,100
1149,107,40
1149,115,60
1149,116,400
1149,139,20
1149,140,100
1149,141,100
1149,142,100
1149,143,40
1149,148,37
1149,149,10
1149,150,5
1149,160,5
1149,168,100
1149,169,50
1149,217,100
1149,244,25
1149,246,80
1149,221,18
1149,268,60
1149,271,5
1149,236,500
1149,238,600
1149,256,60
1149,269,200
1149,286,27500
1149,228,30
1149,297,10
1149,13257,1
1149,13256,1
1149,35060,113
1149,55897,2
1149,55898,2
1152,104,5
1152,244,60
1160,21,2
1160,24,2
1160,48,70
1160,51,160
1160,60,1
1160,101,8
1160,102,150
1160,104,100
1160,107,40
1160,115,60
1160,116,400
1160,139,20
1160,140,100
1160,141,100
1160,142,100
1160,143,40
1160,148,37
1160,149,10
1160,150,5
1160,160,5
1160,168,100
284,104,1
284,139,1
286,116,30
286,141,30
286,256,25
287,55897,1
288,48,1
288,104,1
288,139,1
288,142,1
291,21,2
291,24,2
291,48,70
291,51,160
291,60,1
291,101,8
291,102,150
291,104,100
291,107,40
291,115,60
291,116,400
291,139,20
291,140,100
291,141,100
291,142,100
291,143,40
291,148,37
291,149,10
291,150,5
291,160,5
291,168,100
291,169,50
291,217,100
291,244,25
291,246,80
291,221,18
291,268,60
291,271,5
291,236,500
291,238,600
291,256,60
291,269,200
291,286,27500
291,228,30
291,297,10
291,13257,1
291,13256,1
291,35060,113
291,55897,2
291,55898,2
