FID_CLIENTE,DESCRICAO
455,Niterói
456,Rio de Janeiro
457,Rio de Janeiro
458,São Gonçalo
459,São Gonçalo
461,Rio de Janeiro
462,Rio de Janeiro
464,Rio de Janeiro
466,Rio de Janeiro
467,Rio de Janeiro
469,Rio de Janeiro
471,Rio de Janeiro
472,Rio de Janeiro
474,Rio de Janeiro
477,Rio de Janeiro
478,Rio de Janeiro
479,Rio de Janeiro
481,Rio de Janeiro
483,Rio de Janeiro
484,Rio de Janeiro
486,São Paulo
266,Duque de Caxias
267,Rio de Janeiro
272,Rio de Janeiro
273,Rio de Janeiro
274,Rio de Janeiro
276,Rio de Janeiro
279,Duque de Caxias
281,Mesquita
282,Rio de Janeiro
283,São Gonçalo
285,Rio de Janeiro
286,Rio de Janeiro
287,Rio de Janeiro
289,Rio de Janeiro
292,Rio de Janeiro
294,Rio de Janeiro
298,Rio de Janeiro
4280,São Gonçalo
4281,São Gonçalo
4282,São Gonçalo
4285,Rio de Janeiro
490,Rio de Janeiro
492,Rio de Janeiro
493,Rio de Janeiro
496,Rio de Janeiro
497,Duque de Caxias
499,Duque de Caxias
500,São Gonçalo
503,Duque de Caxias
1,Rio de Janeiro
2,Rio de Janeiro
3,Rio de Janeiro
4,Nova Iguaçu
5,Belford Roxo
6,São João de Meriti
7,Belford Roxo
8,Rio de Janeiro
9,São Gonçalo
13,São Gonçalo
16,Nova Iguaçu
17,Nova Iguaçu
19,Belford Roxo
24,Rio de Janeiro
25,São Gonçalo
27,Rio de Janeiro
28,Nova Iguaçu
31,Nova Iguaçu
34,Rio de Janeiro
36,Nova Iguaçu
37,Niterói
40,Rio de Janeiro
41,Nova Iguaçu
42,Duque de Caxias
43,Rio de Janeiro
44,Rio de Janeiro
45,Rio de Janeiro
46,Rio de Janeiro
47,Duque de Caxias
48,Rio de Janeiro
50,Duque de Caxias
51,São Gonçalo
52,Belford Roxo
55,Rio de Janeiro
56,Rio de Janeiro
58,Rio de Janeiro
61,Duque de Caxias
64,Rio de Janeiro
66,Rio de Janeiro
67,Duque de Caxias
70,Queimados
74,Nova Iguaçu
76,Rio de Janeiro
77,Rio de Janeiro
79,Rio de Janeiro
80,Rio de Janeiro
81,Rio de Janeiro
82,Rio de Janeiro
83,Belford Roxo
85,São Gonçalo
86,Rio de Janeiro
87,Niterói
88,São Gonçalo
90,Rio de Janeiro
54,Santo André
93,Rio de Janeiro
95,Rio de Janeiro
97,Itaboraí
99,Rio de Janeiro
100,Itaboraí
102,Rio de Janeiro
103,Magé
106,Rio de Janeiro
108,Niterói
110,Rio de Janeiro
111,Rio de Janeiro
112,Belford Roxo
113,São Gonçalo
114,São Gonçalo
116,Rio de Janeiro
118,Rio de Janeiro
120,Rio de Janeiro
121,Rio de Janeiro
122,Rio de Janeiro
124,Nova Iguaçu
125,Rio de Janeiro
126,Rio de Janeiro
129,Rio de Janeiro
132,São Gonçalo
133,São Gonçalo
134,Itaboraí
136,Nova Iguaçu
137,Nova Iguaçu
139,Magé
140,Duque de Caxias
141,Queimados
144,Nova Iguaçu
145,São Gonçalo
147,São Gonçalo
149,Rio de Janeiro
150,Nova Iguaçu
153,Rio de Janeiro
155,Nova Iguaçu
156,São Gonçalo
160,Queimados
161,Queimados
89,São Gonçalo
162,Nova Iguaçu
163,Nova Iguaçu
164,Nova Iguaçu
165,Nova Iguaçu
167,Rio de Janeiro
168,Nova Iguaçu
171,Rio de Janeiro
172,Nova Iguaçu
176,Rio de Janeiro
177,Magé
179,São Gonçalo
183,Rio de Janeiro
186,Rio de Janeiro
188,Queimados
191,Duque de Caxias
193,Rio de Janeiro
194,Duque de Caxias
195,Nova Iguaçu
4894,Rio de Janeiro
4895,Rio de Janeiro
488,Rio de Janeiro
198,São Gonçalo
199,São Gonçalo
202,São Gonçalo
203,Rio de Janeiro
204,Rio de Janeiro
205,Belford Roxo
4268,Rio de Janeiro
4269,Niterói
211,Duque de Caxias
212,Duque de Caxias
213,Queimados
214,Duque de Caxias
216,Rio de Janeiro
217,São Gonçalo
219,São Gonçalo
222,Rio de Janeiro
226,Duque de Caxias
229,Duque de Caxias
230,São Gonçalo
4271,Rio de Janeiro
4272,Queimados
4276,São Gonçalo
232,Rio de Janeiro
233,Rio de Janeiro
234,Duque de Caxias
235,Duque de Caxias
236,Rio de Janeiro
237,Rio de Janeiro
238,Belford Roxo
239,Duque de Caxias
241,Belford Roxo
243,Rio de Janeiro
244,São Gonçalo
246,Duque de Caxias
247,São Gonçalo
248,Duque de Caxias
254,Rio de Janeiro
255,Belford Roxo
256,Duque de Caxias
258,Nova Iguaçu
265,Rio de Janeiro
20,São Gonçalo
123,Nova Iguaçu
346,Rio de Janeiro
347,Rio de Janeiro
348,Rio de Janeiro
349,Rio de Janeiro
350,Rio de Janeiro
351,Rio de Janeiro
352,Rio de Janeiro
353,Rio de Janeiro
355,Rio de Janeiro
356,Rio de Janeiro
358,Rio de Janeiro
359,Rio de Janeiro
361,Rio de Janeiro
364,Rio de Janeiro
367,Rio de Janeiro
371,Niterói
373,Niteroi
374,Rio de Janeiro
375,São Gonçalo
376,Rio de Janeiro
151,São João de Meriti
379,Rio de Janeiro
380,Rio de Janeiro
383,São Gonçalo
384,São Gonçalo
385,Niterói
386,Niterói
388,Rio de Janeiro
389,Rio de Janeiro
391,São Gonçalo
392,São Gonçalo
394,São Gonçalo
395,São Gonçalo
396,Niterói
399,Niterói
401,Niterói
403,Niterói
405,Niterói
407,Niterói
409,Niterói
414,São Gonçalo
84,Rio de Janeiro
417,São Gonçalo
418,Niterói
419,Niterói
420,São Gonçalo
422,Niterói
426,Rio de Janeiro
427,Rio de Janeiro
428,Rio de Janeiro
429,Rio de Janeiro
432,Niterói
433,Rio de Janeiro
435,Rio de Janeiro
438,Nova Iguaçu
442,Rio de Janeiro
443,Rio de Janeiro
444,Rio de Janeiro
445,Niterói
448,Belford Roxo
449,Belford Roxo
451,Rio de Janeiro
452,Rio de Janeiro
914,Rio de Janeiro
916,Rio de Janeiro
917,Rio de Janeiro
919,Rio de Janeiro
920,Belford Roxo
504,Belford Roxo
505,Belford Roxo
4331,São Gonçalo
507,Duque de Caxias
509,Duque de Caxias
512,Duque de Caxias
516,Duque de Caxias
517,Duque de Caxias
518,Duque de Caxias
520,Duque de Caxias
522,Duque de Caxias
523,Belford Roxo
525,São Gonçalo
526,São Gonçalo
527,São Gonçalo
4334,Rio de Janeiro
4336,Rio de Janeiro
534,Rio de Janeiro
537,Duque de Caxias
538,Rio de Janeiro
540,Rio de Janeiro
541,Rio de Janeiro
543,Rio de Janeiro
545,Rio de Janeiro
546,Rio de Janeiro
547,Rio de Janeiro
548,Rio de Janeiro
549,Rio de Janeiro
550,Rio de Janeiro
553,Rio de Janeiro
554,Rio de Janeiro
557,Rio de Janeiro
560,Rio de Janeiro
562,Duque de Caxias
563,Duque de Caxias
567,Duque de Caxias
568,São João de Meriti
4905,Rio de Janeiro
570,São João de Meriti
571,São João de Meriti
573,Belford Roxo
574,Belford Roxo
575,São João de Meriti
578,Belford Roxo
579,Belford Roxo
581,São João de Meriti
584,Nilopolis
585,Rio de Janeiro
587,Rio de Janeiro
588,Rio de Janeiro
589,Rio de Janeiro
590,Rio de Janeiro
592,Rio de Janeiro
596,Duque de Caxias
598,Duque de Caxias
4378,Nova Iguaçu
4380,São Gonçalo
4381,Mesquita
601,Duque de Caxias
602,Duque de Caxias
4382,Nova Iguaçu
605,Duque de Caxias
607,Duque de Caxias
608,Magé
610,Rio de Janeiro
614,Rio de Janeiro
615,Rio de Janeiro
619,Rio de Janeiro
620,Rio de Janeiro
623,Rio de Janeiro
624,Rio de Janeiro
625,Rio de Janeiro
626,Rio de Janeiro
627,Rio de Janeiro
629,Rio de Janeiro
631,Belford Roxo
635,Duque de Caxias
4385,São Gonçalo
4387,Rio de Janeiro
299,Rio de Janeiro
301,Rio de Janeiro
302,Rio de Janeiro
303,Rio de Janeiro
305,Rio de Janeiro
306,Rio de Janeiro
307,Rio de Janeiro
310,Rio de Janeiro
311,Rio de Janeiro
312,Rio de Janeiro
313,Rio de Janeiro
314,Rio de Janeiro
315,Rio de Janeiro
317,Rio de Janeiro
318,Rio de Janeiro
319,Rio de Janeiro
321,Rio de Janeiro
326,São Gonçalo
328,Rio de Janeiro
330,Rio de Janeiro
331,Rio de Janeiro
333,Rio de Janeiro
335,Rio de Janeiro
336,Rio de Janeiro
338,Rio de Janeiro
339,Rio de Janeiro
341,Rio de Janeiro
342,Rio de Janeiro
344,Rio de Janeiro
736,Rio de Janeiro
738,Rio de Janeiro
739,Rio de Janeiro
740,Duque de Caxias
741,Duque de Caxias
742,Magé
743,Duque de Caxias
744,São Gonçalo
747,Duque de Caxias
750,Rio de Janeiro
753,Duque de Caxias
755,Duque de Caxias
757,Rio de Janeiro
758,Rio de Janeiro
759,Rio de Janeiro
762,Duque de Caxias
766,Rio de Janeiro
