FID_CLIENTE,DESCRICAO
1963,ZONA CENTRO SUL
1324,ZONA CENTRO SUL
2162,ZONA CENTRO SUL
1339,ZONA CENTRO SUL
957,ZONA CENTRO SUL
366,ZONA CENTRO SUL
4994,ZONA CENTRO SUL
3866,ZONA CENTRO SUL
237,ZONA CENTRO SUL
560,ZONA CENTRO SUL
1656,ZONA CENTRO SUL
216,ZONA CENTRO SUL
3863,ZONA CENTRO SUL
484,ZONA CENTRO SUL
5086,ZONA CENTRO SUL
611,ZONA CENTRO SUL
2543,ZONA CENTRO SUL
3813,ZONA CENTRO SUL
890,ZONA CENTRO SUL
614,ZONA CENTRO SUL
615,ZONA CENTRO SUL
612,ZONA CENTRO SUL
3946,ZONA CENTRO SUL
4821,ZONA CENTRO SUL
389,ZONA CENTRO SUL
613,ZONA CENTRO SUL
5016,ZONA CENTRO SUL
387,ZONA CENTRO SUL
4436,ZONA CENTRO SUL
4695,ZONA CENTRO SUL
4045,ZONA CENTRO SUL
4712,ZONA CENTRO SUL
1423,ZONA CENTRO SUL
4435,ZONA CENTRO SUL
483,ZONA CENTRO SUL
4784,ZONA CENTRO SUL
2740,ZONA CENTRO SUL
3533,ZONA CENTRO SUL
4448,ZONA CENTRO SUL
4450,ZONA CENTRO SUL
4451,ZONA CENTRO SUL
236,ZONA CENTRO SUL
4424,ZONA CENTRO SUL
4449,ZONA CENTRO SUL
1263,ZONA CENTRO SUL
4447,ZONA CENTRO SUL
4777,ZONA CENTRO SUL
4425,ZONA CENTRO SUL
1215,ZONA CENTRO SUL
149,ZONA CENTRO SUL
4975,ZONA CENTRO SUL
4972,ZONA CENTRO SUL
4440,ZONA CENTRO SUL
233,ZONA CENTRO SUL
4610,ZONA CENTRO SUL
4426,ZONA CENTRO SUL
1949,ZONA CENTRO SUL
1052,ZONA CENTRO SUL
388,ZONA CENTRO SUL
485,ZONA CENTRO SUL
3311,ZONA CENTRO SUL
1302,ZONA CENTRO SUL
4427,ZONA CENTRO SUL
4728,ZONA CENTRO SUL
4710,ZONA CENTRO SUL
963,ZONA CENTRO SUL
4749,ZONA CENTRO SUL
1422,ZONA CENTRO SUL
4431,ZONA CENTRO SUL
1049,ZONA CENTRO SUL
4601,ZONA CENTRO SUL
4070,ZONA CENTRO SUL
4953,ZONA CENTRO SUL
4434,ZONA CENTRO SUL
3,ZONA CENTRO SUL
616,ZONA CENTRO SUL
965,ZONA CENTRO SUL
622,ZONA CENTRO SUL
478,ZONA CENTRO SUL
4690,ZONA CENTRO SUL
4874,ZONA CENTRO SUL
610,ZONA CENTRO SUL
4303,ZONA CENTRO SUL
4432,ZONA CENTRO SUL
623,ZONA CENTRO SUL
629,ZONA CENTRO SUL
4714,ZONA CENTRO SUL
4713,ZONA CENTRO SUL
962,ZONA CENTRO SUL
1641,ZONA CENTRO SUL
5042,ZONA CENTRO SUL
5082,ZONA CENTRO SUL
4862,ZONA CENTRO SUL
4275,ZONA CENTRO SUL
961,ZONA CENTRO SUL
4288,ZONA CENTRO SUL
634,ZONA CENTRO SUL
5045,ZONA CENTRO SUL
3929,ZONA CENTRO SUL
768,ZONA CENTRO SUL
931,ZONA CENTRO SUL
4624,ZONA CENTRO SUL
976,ZONA CENTRO SUL
2955,ZONA CENTRO SUL
932,ZONA CENTRO SUL
960,ZONA CENTRO SUL
974,ZONA CENTRO SUL
1308,ZONA CENTRO SUL
4833,ZONA CENTRO SUL
2372,ZONA CENTRO SUL
4920,ZONA CENTRO SUL
625,ZONA CENTRO SUL
4893,ZONA CENTRO SUL
624,ZONA CENTRO SUL
4930,ZONA CENTRO SUL
4808,ZONA CENTRO SUL
1850,ZONA CENTRO SUL
4549,ZONA CENTRO SUL
4351,ZONA CENTRO SUL
4809,ZONA CENTRO SUL
4918,ZONA CENTRO SUL
975,ZONA CENTRO SUL
1266,ZONA CENTRO SUL
4480,ZONA CENTRO SUL
3793,ZONA CENTRO SUL
4820,ZONA CENTRO SUL
627,ZONA CENTRO SUL
4649,ZONA CENTRO SUL
626,ZONA CENTRO SUL
609,ZONA CENTRO SUL
4428,ZONA CENTRO SUL
3847,ZONA CENTRO SUL
958,ZONA CENTRO SUL
4711,ZONA CENTRO SUL
621,ZONA CENTRO SUL
860,ZONA CENTRO SUL
1268,ZONA CENTRO SUL
559,ZONA CENTRO SUL
620,ZONA CENTRO SUL
3864,ZONA CENTRO SUL
2651,ZONA CENTRO SUL
378,ZONA CENTRO SUL
433,ZONA CENTRO SUL
4172,ZONA CENTRO SUL
2786,ZONA CENTRO SUL
4367,ZONA CENTRO SUL
3775,ZONA CENTRO SUL
477,ZONA CENTRO SUL
4641,ZONA CENTRO SUL
2582,ZONA CENTRO SUL
361,ZONA CENTRO SUL
711,ZONA CENTRO SUL
35,ZONA CENTRO SUL
4864,ZONA CENTRO SUL
4283,ZONA CENTRO SUL
69,ZONA CENTRO SUL
964,ZONA CENTRO SUL
360,ZONA CENTRO SUL
4780,ZONA CENTRO SUL
4575,ZONA CENTRO SUL
929,ZONA CENTRO SUL
480,ZONA CENTRO SUL
1893,ZONA CENTRO SUL
1886,ZONA CENTRO SUL
4429,ZONA CENTRO SUL
1883,ZONA CENTRO SUL
923,ZONA CENTRO SUL
922,ZONA CENTRO SUL
4931,ZONA CENTRO SUL
927,ZONA CENTRO SUL
1152,ZONA CENTRO SUL
926,ZONA CENTRO SUL
4969,ZONA CENTRO SUL
4136,ZONA CENTRO SUL
4580,ZONA CENTRO SUL
1874,ZONA CENTRO SUL
921,ZONA CENTRO SUL
4350,ZONA CENTRO SUL
4919,ZONA CENTRO SUL
4771,ZONA CENTRO SUL
5007,ZONA CENTRO SUL
498,ZONA CENTRO SUL
439,ZONA CENTRO SUL
3604,ZONA CENTRO SUL
617,ZONA CENTRO SUL
884,ZONA CENTRO SUL
4770,ZONA CENTRO SUL
869,ZONA CENTRO SUL
3353,ZONA CENTRO SUL
837,ZONA CENTRO SUL
3766,ZONA CENTRO SUL
2630,ZONA CENTRO SUL
166,ZONA CENTRO SUL
4125,ZONA CENTRO SUL
2649,ZONA CENTRO SUL
4118,ZONA CENTRO SUL
2611,ZONA CENTRO SUL
2629,ZONA CENTRO SUL
2358,ZONA CENTRO SUL
4991,ZONA CENTRO SUL
4674,ZONA CENTRO SUL
2758,ZONA CENTRO SUL
4005,ZONA CENTRO SUL
430,ZONA CENTRO SUL
4688,ZONA CENTRO SUL
175,ZONA CENTRO SUL
362,ZONA CENTRO SUL
1994,ZONA CENTRO SUL
4627,ZONA CENTRO SUL
3484,ZONA CENTRO SUL
4341,ZONA CENTRO SUL
5060,ZONA CENTRO SUL
2364,ZONA CENTRO SUL
4556,ZONA CENTRO SUL
3398,ZONA CENTRO SUL
4605,ZONA CENTRO SUL
3874,ZONA CENTRO SUL
3470,ZONA CENTRO SUL
3379,ZONA CENTRO SUL
5047,ZONA CENTRO SUL
4108,ZONA CENTRO SUL
5059,ZONA CENTRO SUL
4446,ZONA CENTRO SUL
4691,ZONA CENTRO SUL
4515,ZONA CENTRO SUL
1832,ZONA CENTRO SUL
1865,ZONA CENTRO SUL
966,ZONA CENTRO SUL
4794,ZONA CENTRO SUL
2385,ZONA CENTRO SUL
4764,ZONA CENTRO SUL
870,ZONA CENTRO SUL
481,ZONA CENTRO SUL
4545,ZONA CENTRO SUL
482,ZONA CENTRO SUL
1984,ZONA CENTRO SUL
928,ZONA CENTRO SUL
479,ZONA CENTRO SUL
930,ZONA CENTRO SUL
4929,ZONA CENTRO SUL
2613,ZONA CENTRO SUL
4423,ZONA CENTRO SUL
3875,ZONA CENTRO SUL
4970,ZONA CENTRO SUL
374,ZONA CENTRO SUL
4043,ZONA CENTRO SUL
1175,ZONA CENTRO SUL
4631,ZONA CENTRO SUL
5043,ZONA CENTRO SUL
4850,ZONA CENTRO SUL
5044,ZONA CENTRO SUL
4119,ZONA CENTRO SUL
4675,ZONA CENTRO SUL
5046,ZONA CENTRO SUL
4544,ZONA CENTRO SUL
4186,ZONA CENTRO SUL
1843,ZONA CENTRO SUL
1352,ZONA CENTRO SUL
1185,ZONA CENTRO SUL
4725,ZONA CENTRO SUL
2352,ZONA CENTRO SUL
2000,ZONA CENTRO SUL
2363,ZONA CENTRO SUL
116,ZONA CENTRO SUL
4738,ZONA CENTRO SUL
110,ZONA CENTRO SUL
440,ZONA CENTRO SUL
893,ZONA CENTRO SUL
1438,ZONA CENTRO SUL
3760,ZONA CENTRO SUL
27,ZONA CENTRO SUL
26,ZONA CENTRO SUL
2603,ZONA CENTRO SUL
1420,ZONA CENTRO SUL
1300,ZONA CENTRO SUL
2153,ZONA CENTRO SUL
2157,ZONA CENTRO SUL
4855,ZONA CENTRO SUL
4356,ZONA CENTRO SUL
1419,ZONA CENTRO SUL
2181,ZONA CENTRO SUL
2638,ZONA CENTRO SUL
2637,ZONA CENTRO SUL
4857,ZONA CENTRO SUL
3327,ZONA CENTRO SUL
3917,ZONA CENTRO SUL
2631,ZONA CENTRO SUL
2604,ZONA CENTRO SUL
2717,SAO GONCALO
3482,SAO GONCALO
4963,SAO GONCALO
2661,SAO GONCALO
2802,SAO GONCALO
2709,SAO GONCALO
2704,SAO GONCALO
3483,SAO GONCALO
2842,SAO GONCALO
3190,SAO GONCALO
3506,SAO GONCALO
3197,SAO GONCALO
3195,SAO GONCALO
3238,SAO GONCALO
2713,SAO GONCALO
3531,SAO GONCALO
2712,SAO GONCALO
712,SAO GONCALO
1097,SAO GONCALO
2176,SAO GONCALO
2243,SAO GONCALO
135,SAO GONCALO
134,SAO GONCALO
2255,SAO GONCALO
3013,SAO GONCALO
3416,SAO GONCALO
849,SAO GONCALO
3014,SAO GONCALO
1557,SAO GONCALO
3403,SAO GONCALO
2257,SAO GONCALO
1408,SAO GONCALO
3200,SAO GONCALO
828,SAO GONCALO
4602,SAO GONCALO
4791,SAO GONCALO
1177,SAO GONCALO
3402,SAO GONCALO
3485,SAO GONCALO
2391,SAO GONCALO
101,SAO GONCALO
2297,SAO GONCALO
4565,SAO GONCALO
3401,SAO GONCALO
2708,SAO GONCALO
4017,SAO GONCALO
3509,SAO GONCALO
3156,SAO GONCALO
2275,SAO GONCALO
3410,SAO GONCALO
3415,SAO GONCALO
2229,SAO GONCALO
3492,SAO GONCALO
894,SAO GONCALO
3400,SAO GONCALO
1119,SAO GONCALO
1039,SAO GONCALO
2321,SAO GONCALO
97,SAO GONCALO
3543,SAO GONCALO
3430,SAO GONCALO
3421,SAO GONCALO
3425,SAO GONCALO
219,SAO GONCALO
778,SAO GONCALO
1140,SAO GONCALO
268,SAO GONCALO
1109,SAO GONCALO
1103,SAO GONCALO
1535,SAO GONCALO
1559,SAO GONCALO
1561,SAO GONCALO
2261,SAO GONCALO
1631,SAO GONCALO
1440,SAO GONCALO
1410,SAO GONCALO
1259,SAO GONCALO
4557,SAO GONCALO
830,SAO GONCALO
850,SAO GONCALO
1812,SAO GONCALO
1374,SAO GONCALO
1091,SAO GONCALO
791,SAO GONCALO
1260,SAO GONCALO
995,SAO GONCALO
2163,SAO GONCALO
671,SAO GONCALO
1193,SAO GONCALO
852,SAO GONCALO
4954,SAO GONCALO
1388,SAO GONCALO
1385,SAO GONCALO
3471,SAO GONCALO
1118,SAO GONCALO
3263,SAO GONCALO
3411,SAO GONCALO
3105,SAO GONCALO
1579,SAO GONCALO
1038,SAO GONCALO
2976,SAO GONCALO
2178,SAO GONCALO
2721,SAO GONCALO
1802,SAO GONCALO
2262,SAO GONCALO
1952,SAO GONCALO
2828,SAO GONCALO
2483,SAO GONCALO
2756,SAO GONCALO
2175,SAO GONCALO
2252,SAO GONCALO
96,SAO GONCALO
3417,SAO GONCALO
100,SAO GONCALO
2282,SAO GONCALO
2550,SAO GONCALO
3155,SAO GONCALO
2172,SAO GONCALO
2773,SAO GONCALO
3414,SAO GONCALO
117,SAO GONCALO
1799,SAO GONCALO
4024,SAO GONCALO
1126,SAO GONCALO
1387,SAO GONCALO
3152,SAO GONCALO
1142,SAO GONCALO
1094,SAO GONCALO
1114,SAO GONCALO
2371,SAO GONCALO
201,SAO GONCALO
174,SAO GONCALO
198,SAO GONCALO
132,SAO GONCALO
3495,SAO GONCALO
1953,SAO GONCALO
1305,SAO GONCALO
1833,SAO GONCALO
1400,SAO GONCALO
1304,SAO GONCALO
247,SAO GONCALO
744,SAO GONCALO
2269,SAO GONCALO
1951,SAO GONCALO
62,SAO GONCALO
2524,SAO GONCALO
2741,SAO GONCALO
1158,SAO GONCALO
4606,SAO GONCALO
4331,SAO GONCALO
3496,SAO GONCALO
3520,SAO GONCALO
1401,SAO GONCALO
1128,SAO GONCALO
3498,SAO GONCALO
3516,SAO GONCALO
2989,SAO GONCALO
3518,SAO GONCALO
2991,SAO GONCALO
3497,SAO GONCALO
217,SAO GONCALO
1910,SAO GONCALO
4353,SAO GONCALO
4279,SAO GONCALO
1107,SAO GONCALO
1108,SAO GONCALO
1113,SAO GONCALO
417,SAO GONCALO
1129,SAO GONCALO
4566,SAO GONCALO
4550,SAO GONCALO
2511,SAO GONCALO
3157,SAO GONCALO
1433,SAO GONCALO
4270,SAO GONCALO
1095,SAO GONCALO
1449,SAO GONCALO
114,SAO GONCALO
1111,SAO GONCALO
133,SAO GONCALO
4616,SAO GONCALO
4559,SAO GONCALO
1448,SAO GONCALO
4157,SAO GONCALO
1566,SAO GONCALO
1415,SAO GONCALO
2722,SAO GONCALO
383,SAO GONCALO
2896,SAO GONCALO
264,SAO GONCALO
1520,SAO GONCALO
1087,SAO GONCALO
3937,SAO GONCALO
1104,SAO GONCALO
1105,SAO GONCALO
1086,SAO GONCALO
1416,SAO GONCALO
1100,SAO GONCALO
1110,SAO GONCALO
4002,SAO GONCALO
854,SAO GONCALO
1411,SAO GONCALO
